Horodateur,"Pseudo Twitch  ",Pseudo Discord,Depuis combien de temps suis-tu Cruella sur Twitch ?,"Quelle parcelle tu désires ?
(Premier arrivé premier servi)
[Tu peux trouver les parcelles sur ce site internet, tu peux mettre peu importe si ça t'est égal]
https://housing.wowdb.com/neighborhoods/alliance/",🏠Pourquoi veux-tu rejoindre le Housing ?🏠,🏠As-tu une idée ou une suggestion pour le Housing ?🏠,🏠À quelle fréquence penses-tu venir dans le Housing ?🏠,As-tu bien lu et accepté les règles du live / Discord de Cruella ?,"Un petit mot pour Cruella ?💜  ",Modo
2025/11/26 12:08:03 PM UTC+1,Dinokiller,dinokiller,Plus d’un an,21,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:15:55 PM UTC+1,MrRivac,Rivac,Plus d’un an,14,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:16:46 PM UTC+1,myrsky7,myrsky7,6 mois à 1 an,37,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:16:54 PM UTC+1,Lanhkhulay,Lanhkulay,Plus d’un an,12,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:17:58 PM UTC+1,DekuLeBelge___,DekU,Plus d’un an,34,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:18:06 PM UTC+1,Dinrax,Dinrax,Plus d’un an,36,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:18:12 PM UTC+1,greghtwow,greghtwow,6 mois à 1 an,51,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:18:33 PM UTC+1,Ailedeau,Ailedeau,Plus d’un an,25,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu 🐾),Oui,0,
2025/11/26 12:18:53 PM UTC+1,Nelhane,Nelhane,Plus d’un an,4,0,0,Tous les jours (je vais planter mes fleurs et espionner mes voisins🌿),Oui,0,
2025/11/26 12:21:16 PM UTC+1,Chewbakablinder,Weazi,Plus d’un an,54,0,0,Quelques fois par semaine (je viendrai nourrir mon chat et papoter un peu 🐾),Oui,0,
